AGE7,SU_ID,ECON6A_2,ECON6C_2,ECON5A_B2,GENDER2,RACETH2,P_DENSE2,question
6,23723613,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
1,23724546,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_3, ECON7_5, ECON7_7"
5,23726406,Did not apply,Did not apply,Sometimes true,Male,"Black, non-Hispanic",Urban,ECON7_8
4,23728700,Received,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,"ECON7_1, ECON7_2"
3,23732682,Received,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,"ECON7_2, ECON7_3"
5,23735752,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_2
4,23737359,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_2
1,23739932,Applied,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_2
2,23740540,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
3,23747415,Did not apply,Did not apply,Sometimes true,Female,"White, non-Hispanic",Urban,ECON7_2
7,23747479,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
1,23749093,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,ECON7_3
6,23750870,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
6,23754546,Did not apply,Did not apply,Sometimes true,Female,"White, non-Hispanic",Urban,"ECON7_3, ECON7_5"
4,23756566,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_2, ECON7_3"
2,23757076,Applied,Tried to apply,Sometimes true,Female,Hispanic,Urban,ECON7_5
6,23763036,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_2, ECON7_3"
7,23763194,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
3,23766800,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
4,23774470,Applied,Did not apply,Often true,Female,"White, non-Hispanic",Urban,ECON7_8
2,23778905,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
5,23780685,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_3
6,23782519,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_8
7,23782531,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
1,23783016,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Rural,ECON7_7
3,23786907,Did not apply,Did not apply,Sometimes true,Male,"White, non-Hispanic",Urban,ECON7_1
2,23788464,Did not apply,Did not apply,Sometimes true,Female,Hispanic,Suburban,"ECON7_2, ECON7_3, ECON7_4, ECON7_5"
1,23789756,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,"ECON7_3, ECON7_5"
5,23792777,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
5,23795567,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
5,23797545,Received,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
5,23798055,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
4,23800013,Did not apply,Did not apply,Sometimes true,Female,"White, non-Hispanic",Suburban,ECON7_8
6,23804403,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
1,23807311,Did not apply,Did not apply,Often true,Female,"White, non-Hispanic",Suburban,ECON7_8
2,23808749,Did not apply,Did not apply,Never true,Female,Hispanic,Urban,"ECON7_1, ECON7_3"
3,23812595,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
4,23812931,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,"ECON7_2, ECON7_3"
5,23813566,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,ECON7_1
7,23816649,Received,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_7"
3,23816853,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_2, ECON7_3, ECON7_5"
6,23817772,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
2,23819183,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
2,23824216,Did not apply,Did not apply,Never true,Female,"Other, non-Hispanic",Urban,"ECON7_1, ECON7_2, ECON7_3"
3,23824281,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
5,23826474,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_3
6,23830836,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_8
5,23831412,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,ECON7_2
7,23832296,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
3,23834904,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
4,23836853,Applied,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
2,23839316,Did not apply,Did not apply,Never true,Female,"Other, non-Hispanic",Urban,ECON7_3
5,23839681,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,ECON7_1
4,23849198,Applied,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
3,23851221,Did not apply,Did not apply,Never true,Male,Hispanic,Urban,ECON7_1
5,23852261,Tried to apply,Did not apply,Never true,Male,"Black, non-Hispanic",Urban,ECON7_SKP
2,23853355,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
6,23854676,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
7,23856434,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,ECON7_3
6,23863446,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
2,23864942,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
1,23866791,Received,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
2,23873928,Did not apply,Did not apply,Never true,Female,"Other, non-Hispanic",Urban,"ECON7_5, ECON7_7"
1,23874646,Did not apply,Did not apply,Sometimes true,Male,Hispanic,Urban,ECON7_5
2,23875232,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,ECON7_1
7,23877612,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
6,23880261,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_2, ECON7_3, ECON7_4"
1,23882376,Did not apply,Did not apply,Never true,Male,Hispanic,Urban,ECON7_8
4,23882712,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_2
1,23886766,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_2
5,23888457,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,ECON7_1
2,23888824,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
5,23891598,Received,Did not apply,Never true,Female,"White, non-Hispanic",Rural,ECON7_3
6,23894702,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
6,23895117,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,"ECON7_1, ECON7_3"
4,23898589,Received,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
4,23899765,Did not apply,Did not apply,Often true,Female,Hispanic,Urban,ECON7_8
1,23901065,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_3, ECON7_5"
2,23901486,Tried to apply,Received,Often true,Female,"Other, non-Hispanic",Urban,"ECON7_1, ECON7_2, ECON7_3, ECON7_4, ECON7_5, ECON7_6, ECON7_7"
5,23901798,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_2
6,23901892,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
2,23902681,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_8
4,23903818,Did not apply,Did not apply,Sometimes true,Female,"White, non-Hispanic",Urban,ECON7_3
3,23904187,Did not apply,Did not apply,Never true,Male,Hispanic,Urban,"ECON7_1, ECON7_3"
1,23904559,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
6,23906523,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
2,23906951,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,ECON7_3
7,23907457,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
4,23907499,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
2,23908939,Did not apply,Did not apply,Often true,Female,"White, non-Hispanic",Rural,ECON7_8
5,23912674,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_2, ECON7_3"
5,23914390,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,ECON7_3
5,23918038,Did not apply,Did not apply,Sometimes true,Female,"Other, non-Hispanic",Urban,ECON7_8
5,23922985,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,"ECON7_1, ECON7_2, ECON7_3"
5,23926567,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
2,23927126,Did not apply,Did not apply,Never true,Male,Hispanic,Urban,ECON7_3
1,23927442,Received,Did not apply,Sometimes true,Male,"White, non-Hispanic",Urban,ECON7_3
4,23928210,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
7,23928358,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,ECON7_1
2,23929049,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
5,23933543,Received,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_2, ECON7_3"
6,23938886,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,"ECON7_1, ECON7_3"
5,23939082,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_8
6,23940319,Did not apply,Did not apply,Often true,Female,"Black, non-Hispanic",Urban,ECON7_8
6,23942172,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
3,23956107,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_2"
6,23957769,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
2,23959403,Did not apply,Did not apply,Sometimes true,Female,Hispanic,Rural,"ECON7_2, ECON7_3, ECON7_4, ECON7_5, ECON7_7"
2,23961947,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_2
7,23963101,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
6,23964238,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
3,23967177,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
4,23968664,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
6,23968898,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
6,23978705,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,ECON7_1
7,23979054,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,ECON7_1
6,23986114,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
3,23995305,Received,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,ECON7_3
2,23996532,Did not apply,Did not apply,Never true,Male,Hispanic,Urban,ECON7_2
7,24001177,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,ECON7_5
4,24001269,Received,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
5,24005726,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_8
2,24013995,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,"ECON7_1, ECON7_3"
1,24015055,Did not apply,Did not apply,Never true,Female,Hispanic,Urban,ECON7_3
7,24016394,Received,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
3,24019626,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
2,24019768,Received,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_3
4,24021840,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
5,24023857,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_2
2,24026177,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
5,24026491,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
1,24027061,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
6,24028007,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
6,24030361,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
3,24037152,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,"ECON7_2, ECON7_5, ECON7_6"
5,24038204,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_3
3,24041847,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,ECON7_1
6,24042380,Did not apply,Did not apply,Never true,Female,Hispanic,Urban,ECON7_1
6,24047378,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
5,24050444,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,"ECON7_2, ECON7_3"
6,24053321,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
4,24058668,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
7,24060840,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,"ECON7_1, ECON7_3"
6,24061944,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
3,24063864,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
3,24065549,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
2,24065695,Received,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
7,24065819,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_4"
5,24067892,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
6,24068003,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
2,24068842,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,ECON7_1
3,24078311,Applied,Did not apply,Often true,Female,"Other, non-Hispanic",Urban,ECON7_8
6,24079650,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
3,24081209,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
6,24081628,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
6,24082007,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
3,24083957,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
4,24089931,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
1,24090203,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_8
3,24101290,Did not apply,Did not apply,Sometimes true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_2, ECON7_3"
6,24103372,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
5,24110962,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
2,24111795,Did not apply,Did not apply,Sometimes true,Female,"White, non-Hispanic",Suburban,ECON7_8
5,24116811,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
5,24117404,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
2,24118151,Did not apply,Did not apply,Never true,Female,Hispanic,Urban,ECON7_8
6,24119172,Did not apply,Did not apply,Never true,Male,Hispanic,Urban,ECON7_3
4,24123920,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
4,24124252,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,ECON7_1
7,24125119,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
5,24125851,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_2, ECON7_3"
2,24126580,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
5,24127948,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
4,24128458,Tried to apply,Did not apply,Sometimes true,Female,"Black, non-Hispanic",Urban,ECON7_8
1,24130756,Did not apply,Did not apply,Sometimes true,Female,"White, non-Hispanic",Urban,"ECON7_5, ECON7_7"
5,24131303,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_8
6,24133078,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
4,24134356,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
2,24134631,Did not apply,Did not apply,Never true,Male,"Black, non-Hispanic",Urban,ECON7_1
3,24134959,Tried to apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
3,24143508,Did not apply,Did not apply,Often true,Female,"White, non-Hispanic",Urban,"ECON7_5, ECON7_6"
5,24144695,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,"ECON7_3, ECON7_5"
2,24145637,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
7,24147863,Did not apply,Did not apply,Sometimes true,Female,"White, non-Hispanic",Urban,ECON7_3
2,24148466,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
6,24148586,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
5,24149507,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
3,24152360,Did not apply,Did not apply,Never true,Male,"Black, non-Hispanic",Urban,"ECON7_2, ECON7_3"
3,24154449,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
7,24155330,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
6,24155573,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
5,24155869,Did not apply,Did not apply,Sometimes true,Male,"White, non-Hispanic",Suburban,ECON7_8
4,24166145,Received,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
3,24169408,Received,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
3,24170505,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,"ECON7_1, ECON7_3"
3,24173321,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
6,24178885,Received,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,"ECON7_1, ECON7_3"
6,24178950,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
5,24179580,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_3
6,24182109,Did not apply,Did not apply,Sometimes true,Female,"White, non-Hispanic",Suburban,ECON7_8
3,24183974,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
4,24186000,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
6,24190021,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
5,24194939,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_5
7,24195764,Did not apply,Did not apply,Sometimes true,Male,"White, non-Hispanic",Urban,ECON7_2
4,24201121,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
6,24203023,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_3, ECON7_5, ECON7_7"
2,24205764,Did not apply,Did not apply,Never true,Female,Hispanic,Urban,"ECON7_1, ECON7_3"
6,24206363,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,"ECON7_1, ECON7_3"
4,24207075,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
6,24212304,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
3,24215548,Did not apply,Did not apply,Sometimes true,Female,"White, non-Hispanic",Suburban,ECON7_8
1,24217009,Did not apply,Did not apply,Never true,Male,Hispanic,Urban,"ECON7_3, ECON7_4"
6,24217216,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
2,24217832,Applied,Did not apply,Often true,Female,"Black, non-Hispanic",Urban,ECON7_8
5,24221101,Received,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_8
3,24221323,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,"ECON7_2, ECON7_3"
6,24223987,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_2
4,24225583,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
2,24230415,Did not apply,Did not apply,Never true,Female,"Other, non-Hispanic",Urban,ECON7_8
4,24233337,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
4,24236335,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
3,24243319,Did not apply,Did not apply,Never true,Female,Hispanic,Urban,ECON7_8
5,24245519,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
3,24245940,Did not apply,Did not apply,Sometimes true,Female,"Black, non-Hispanic",Urban,ECON7_8
7,24250244,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
6,24250660,Did not apply,Did not apply,Never true,Female,Hispanic,Urban,ECON7_1
2,24251381,Did not apply,Did not apply,Often true,Female,Hispanic,Suburban,ECON7_8
2,24252025,Did not apply,Did not apply,Never true,Female,"Other, non-Hispanic",Urban,ECON7_3
1,24255680,Did not apply,Did not apply,Never true,Female,Hispanic,Urban,ECON7_8
4,24257175,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_2
5,24259945,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,"ECON7_1, ECON7_2, ECON7_3"
3,24260730,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
7,24261480,Received,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
5,24266242,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Suburban,ECON7_2
4,24271367,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_3
5,24274882,Did not apply,Did not apply,Often true,Female,"White, non-Hispanic",Urban,ECON7_8
3,24277631,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
2,24279084,Did not apply,Did not apply,Often true,Female,"Black, non-Hispanic",Urban,ECON7_8
5,24281247,Applied,Did not apply,Never true,Male,"White, non-Hispanic",Rural,ECON7_3
4,24282217,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
5,24286898,Did not apply,Did not apply,Sometimes true,Male,"White, non-Hispanic",Urban,ECON7_8
1,24287242,Tried to apply,Tried to apply,Never true,Male,"Other, non-Hispanic",Urban,"ECON7_1, ECON7_3"
7,24288579,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
2,24291126,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
2,24292563,Did not apply,Did not apply,Never true,Female,Hispanic,Urban,"ECON7_5, ECON7_7"
7,24293484,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
4,24293948,Applied,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
2,24298259,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
5,24299065,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_2
5,24299362,Received,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
4,24304697,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,"ECON7_2, ECON7_3"
2,24310903,Did not apply,Did not apply,Never true,Female,"Other, non-Hispanic",Urban,ECON7_8
4,24311569,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
6,24313114,Tried to apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,ECON7_8
3,24314186,Received,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
3,24314362,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
7,24314796,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,ECON7_2
6,24316687,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_2, ECON7_3"
7,24317809,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,ECON7_3
6,24318853,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
3,24322062,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
5,24324046,Received,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_2
4,24329744,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_1
5,24332074,Applied,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,ECON7_3
3,24333970,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,"ECON7_2, ECON7_3"
6,24342192,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,ECON7_1
3,24342944,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
6,24344830,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_8
5,24344997,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
2,24346780,Tried to apply,Did not apply,Often true,Female,Hispanic,Urban,ECON7_7
4,24347566,Did not apply,Did not apply,Never true,Female,Hispanic,Urban,ECON7_1
6,24350269,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_2, ECON7_3"
7,24350807,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
2,24353113,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
5,24353634,Did not apply,Did not apply,Sometimes true,Female,"White, non-Hispanic",Urban,"ECON7_2, ECON7_5"
3,24353958,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,ECON7_3
3,24355052,Received,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_3
